2017-08-11,Arsenal FC,Leicester City FC
2017-08-12,Watford FC,Liverpool FC
2017-08-12,Crystal Palace FC,Huddersfield Town
2017-08-12,West Bromwich Albion FC,AFC Bournemouth
2017-08-12,Chelsea FC,Burnley FC
2017-08-12,Everton FC,Stoke City FC
2017-08-12,Southampton FC,Swansea City FC
2017-08-12,Brighton & Hove Albion,Manchester City FC
2017-08-13,Newcastle United FC,Tottenham Hotspur FC
2017-08-13,Manchester United FC,West Ham United FC
2017-08-19,Swansea City FC,Manchester United FC
2017-08-19,Southampton FC,West Ham United FC
2017-08-19,AFC Bournemouth,Watford FC
2017-08-19,Burnley FC,West Bromwich Albion FC
2017-08-19,Leicester City FC,Brighton & Hove Albion
2017-08-19,Liverpool FC,Crystal Palace FC
2017-08-19,Stoke City FC,Arsenal FC
2017-08-20,Huddersfield Town,Newcastle United FC
2017-08-20,Tottenham Hotspur FC,Chelsea FC
2017-08-21,Manchester City FC,Everton FC
2017-08-26,AFC Bournemouth,Manchester City FC
2017-08-26,Crystal Palace FC,Swansea City FC
2017-08-26,Huddersfield Town,Southampton FC
2017-08-26,Newcastle United FC,West Ham United FC
2017-08-26,Watford FC,Brighton & Hove Albion
2017-08-26,Manchester United FC,Leicester City FC
2017-08-27,West Bromwich Albion FC,Stoke City FC
2017-08-27,Chelsea FC,Everton FC
2017-08-27,Liverpool FC,Arsenal FC
2017-08-27,Tottenham Hotspur FC,Burnley FC
2017-09-09,Manchester City FC,Liverpool FC
2017-09-09,Arsenal FC,AFC Bournemouth
2017-09-09,Brighton & Hove Albion,West Bromwich Albion FC
2017-09-09,Everton FC,Tottenham Hotspur FC
2017-09-09,Leicester City FC,Chelsea FC
2017-09-09,Southampton FC,Watford FC
2017-09-09,Stoke City FC,Manchester United FC
2017-09-10,Burnley FC,Crystal Palace FC
2017-09-10,Swansea City FC,Newcastle United FC
2017-09-11,West Ham United FC,Huddersfield Town
2017-09-15,AFC Bournemouth,Brighton & Hove Albion
2017-09-16,Crystal Palace FC,Southampton FC
2017-09-16,Newcastle United FC,Stoke City FC
2017-09-16,Liverpool FC,Burnley FC
2017-09-16,Watford FC,Manchester City FC
2017-09-16,Huddersfield Town,Leicester City FC
2017-09-16,West Bromwich Albion FC,West Ham United FC
2017-09-16,Tottenham Hotspur FC,Swansea City FC
2017-09-17,Chelsea FC,Arsenal FC
2017-09-17,Manchester United FC,Everton FC
2017-09-23,West Ham United FC,Tottenham Hotspur FC
2017-09-23,Burnley FC,Huddersfield Town
2017-09-23,Everton FC,AFC Bournemouth
2017-09-23,Manchester City FC,Crystal Palace FC
2017-09-23,Southampton FC,Manchester United FC
2017-09-23,Stoke City FC,Chelsea FC
2017-09-23,Swansea City FC,Watford FC
2017-09-23,Leicester City FC,Liverpool FC
2017-09-24,Brighton & Hove Albion,Newcastle United FC
2017-09-25,Arsenal FC,West Bromwich Albion FC
2017-09-30,Huddersfield Town,Tottenham Hotspur FC
2017-09-30,Manchester United FC,Crystal Palace FC
2017-09-30,Stoke City FC,Southampton FC
2017-09-30,West Bromwich Albion FC,Watford FC
2017-09-30,West Ham United FC,Swansea City FC
2017-09-30,AFC Bournemouth,Leicester City FC
2017-09-30,Chelsea FC,Manchester City FC
2017-10-01,Arsenal FC,Brighton & Hove Albion
2017-10-01,Everton FC,Burnley FC
2017-10-01,Newcastle United FC,Liverpool FC
2017-10-14,Liverpool FC,Manchester United FC
2017-10-14,Tottenham Hotspur FC,AFC Bournemouth
2017-10-14,Burnley FC,West Ham United FC
2017-10-14,Crystal Palace FC,Chelsea FC
2017-10-14,Manchester City FC,Stoke City FC
2017-10-14,Swansea City FC,Huddersfield Town
2017-10-14,Watford FC,Arsenal FC
2017-10-15,Brighton & Hove Albion,Everton FC
2017-10-15,Southampton FC,Newcastle United FC
2017-10-16,Leicester City FC,West Bromwich Albion FC
2017-10-20,West Ham United FC,Brighton & Hove Albion
2017-10-21,Chelsea FC,Watford FC
2017-10-21,Huddersfield Town,Manchester United FC
2017-10-21,Manchester City FC,Burnley FC
2017-10-21,Newcastle United FC,Crystal Palace FC
2017-10-21,Stoke City FC,AFC Bournemouth
2017-10-21,Swansea City FC,Leicester City FC
2017-10-21,Southampton FC,West Bromwich Albion FC
2017-10-22,Everton FC,Arsenal FC
2017-10-22,Tottenham Hotspur FC,Liverpool FC
2017-10-28,Manchester United FC,Tottenham Hotspur FC
2017-10-28,Crystal Palace FC,West Ham United FC
2017-10-28,Arsenal FC,Swansea City FC
2017-10-28,Liverpool FC,Huddersfield Town
2017-10-28,Watford FC,Stoke City FC
2017-10-28,West Bromwich Albion FC,Manchester City FC
2017-10-28,AFC Bournemouth,Chelsea FC
2017-10-29,Brighton & Hove Albion,Southampton FC
2017-10-29,Leicester City FC,Everton FC
2017-10-30,Burnley FC,Newcastle United FC
2017-11-04,Stoke City FC,Leicester City FC
2017-11-04,Huddersfield Town,West Bromwich Albion FC
2017-11-04,Newcastle United FC,AFC Bournemouth
2017-11-04,Southampton FC,Burnley FC
2017-11-04,Swansea City FC,Brighton & Hove Albion
2017-11-04,West Ham United FC,Liverpool FC
2017-11-05,Tottenham Hotspur FC,Crystal Palace FC
2017-11-05,Manchester City FC,Arsenal FC
2017-11-05,Chelsea FC,Manchester United FC
2017-11-05,Everton FC,Watford FC
2017-11-18,Arsenal FC,Tottenham Hotspur FC
2017-11-18,AFC Bournemouth,Huddersfield Town
2017-11-18,Burnley FC,Swansea City FC
2017-11-18,Crystal Palace FC,Everton FC
2017-11-18,Leicester City FC,Manchester City FC
2017-11-18,Liverpool FC,Southampton FC
2017-11-18,West Bromwich Albion FC,Chelsea FC
2017-11-18,Manchester United FC,Newcastle United FC
2017-11-19,Watford FC,West Ham United FC
2017-11-20,Brighton & Hove Albion,Stoke City FC
2017-11-24,West Ham United FC,Leicester City FC
2017-11-25,Crystal Palace FC,Stoke City FC
2017-11-25,Manchester United FC,Brighton & Hove Albion
2017-11-25,Newcastle United FC,Watford FC
2017-11-25,Swansea City FC,AFC Bournemouth
2017-11-25,Tottenham Hotspur FC,West Bromwich Albion FC
2017-11-25,Liverpool FC,Chelsea FC
2017-11-26,Southampton FC,Everton FC
2017-11-26,Burnley FC,Arsenal FC
2017-11-26,Huddersfield Town,Manchester City FC
2017-11-28,Leicester City FC,Tottenham Hotspur FC
2017-11-28,Brighton & Hove Albion,Crystal Palace FC
2017-11-28,Watford FC,Manchester United FC
2017-11-28,West Bromwich Albion FC,Newcastle United FC
2017-11-29,Chelsea FC,Swansea City FC
2017-11-29,AFC Bournemouth,Burnley FC
2017-11-29,Arsenal FC,Huddersfield Town
2017-11-29,Everton FC,West Ham United FC
2017-11-29,Stoke City FC,Liverpool FC
2017-11-29,Manchester City FC,Southampton FC
2017-12-02,Chelsea FC,Newcastle United FC
2017-12-02,Watford FC,Tottenham Hotspur FC
2017-12-02,Stoke City FC,Swansea City FC
2017-12-02,Leicester City FC,Burnley FC
2017-12-02,Everton FC,Huddersfield Town
2017-12-02,West Bromwich Albion FC,Crystal Palace FC
2017-12-02,Brighton & Hove Albion,Liverpool FC
2017-12-02,Arsenal FC,Manchester United FC
2017-12-03,AFC Bournemouth,Southampton FC
2017-12-03,Manchester City FC,West Ham United FC
2017-12-09,West Ham United FC,Chelsea FC
